Time,ChannelA,ChannelB,ChannelD
(s),(V),(mV),(V)
,,,
0.00347585,1.653543,90.55118,3.385827
0.00348186,1.614173,86.61417,3.385827
0.00348786,1.535433,90.55118,3.346457
0.00349386,1.574803,86.61417,3.385827
0.00349987,1.653543,94.48818,3.425197
0.00350587,1.653543,94.48818,3.346457
0.00351187,1.614173,90.55118,3.346457
0.00351788,1.574803,90.55118,3.425197
0.00352388,1.614173,94.48818,3.385827
0.00352988,1.653543,90.55118,3.346457
0.00353588,1.653543,90.55118,3.385827
0.00354189,1.574803,90.55118,3.385827
0.00354789,1.574803,90.55118,3.425197
0.00355389,1.653543,86.61417,3.385827
0.0035599,1.653543,90.55118,3.346457
0.0035659,1.574803,90.55118,3.385827
0.0035719,1.574803,94.48818,3.385827
0.00357791,1.574803,90.55118,3.346457
0.00358391,1.614173,90.55118,3.385827
0.00358991,1.692913,94.48818,3.385827
0.00359592,1.614173,90.55118,3.425197
0.00360192,1.574803,86.61417,3.425197
0.00360792,1.614173,82.67715,3.346457
0.00361393,1.574803,94.48818,3.385827
0.00361993,1.653543,90.55118,3.385827
0.00362593,1.574803,94.48818,3.385827
0.00363194,1.614173,90.55118,3.346457
0.00363794,1.614173,90.55118,3.346457
0.00364394,1.653543,90.55118,3.385827
0.00364995,1.574803,90.55118,3.346457
0.00365595,1.614173,90.55118,3.385827
0.00366195,1.574803,86.61417,3.346457
0.00366796,1.614173,82.67715,3.385827
0.00367396,1.614173,86.61417,3.385827
0.00367996,1.614173,90.55118,3.385827
0.00368596,1.614173,82.67715,3.385827
0.00369197,1.614173,98.42519,3.385827
0.00369797,1.614173,90.55118,3.346457
0.00370397,1.653543,94.48818,3.385827
0.00370998,1.614173,94.48818,3.425197
0.00371598,1.614173,90.55118,3.385827
0.00372198,1.614173,86.61417,3.385827
0.00372799,1.614173,90.55118,3.346457
0.00373399,1.614173,86.61417,3.385827
0.00373999,1.574803,90.55118,3.385827
0.003746,1.614173,90.55118,3.425197
0.003752,1.574803,90.55118,3.385827
0.003758,1.614173,94.48818,3.346457
0.00376401,1.614173,90.55118,3.385827
0.00377001,1.574803,90.55118,3.346457
0.00377601,1.614173,90.55118,3.346457
0.00378202,1.614173,90.55118,3.385827
0.00378802,1.614173,90.55118,3.385827
0.00379402,1.614173,86.61417,3.385827
0.00380003,1.574803,90.55118,3.425197
0.00380603,1.614173,90.55118,3.385827
0.00381203,1.574803,90.55118,3.385827
0.00381804,1.614173,86.61417,3.385827
0.00382404,1.614173,94.48818,3.385827
0.00383004,1.614173,90.55118,3.346457
0.00383604,1.574803,90.55118,3.385827
0.00384205,1.692913,82.67715,3.425197
0.00384805,1.574803,90.55118,3.346457
0.00385405,1.574803,90.55118,3.385827
0.00386006,1.614173,94.48818,3.385827
0.00386606,1.692913,90.55118,3.425197
0.00387206,1.574803,86.61417,3.346457
0.00387807,1.496063,90.55118,3.425197
0.00388407,1.614173,90.55118,3.385827
0.00389007,1.653543,98.42519,3.346457
0.00389608,1.653543,98.42519,3.385827
0.00390208,1.614173,90.55118,3.385827
0.00390808,1.574803,90.55118,3.425197
0.00391409,1.614173,98.42519,3.385827
0.00392009,1.653543,86.61417,3.385827
0.00392609,1.653543,94.48818,3.385827
0.0039321,1.535433,90.55118,3.425197
0.0039381,1.574803,90.55118,3.425197
